Year,Month,Day,Hour,HOURLYPrecip
2017,2,16,11,0.019685
2017,2,16,12,0.051181
2017,2,16,13,0.011811
2017,2,16,14,0.059055
2017,2,16,17,0.059055
2017,2,17,11,0.059055
2017,2,17,12,0.000000
2017,2,17,13,0.078740
2017,2,17,14,0.098425
2017,2,17,15,0.039370
2017,2,17,16,0.059055
2017,2,17,17,0.078740
2017,2,17,18,0.011811
2017,2,17,19,0.000000
2017,2,17,20,0.039370
2017,2,17,21,0.011811
2017,2,17,22,0.000000
2017,2,17,23,0.011811
2017,2,18,0,0.051181
2017,2,18,1,0.039370
2017,2,18,2,0.051181
2017,2,18,3,0.000000
2017,2,18,4,0.070866
2017,2,18,5,0.098425
2017,2,18,6,0.090551
2017,2,18,7,0.059055
2017,2,18,8,0.011811
2017,2,18,9,0.011811
2017,2,18,10,0.000000
2017,2,18,11,0.019685
2017,2,18,12,0.000000
2017,2,18,14,0.000000
2017,2,18,17,0.011811
2017,2,19,6,0.000000
2017,2,19,7,0.000000
2017,2,19,8,0.011811
2017,2,19,9,0.019685
2017,2,19,10,0.019685
2017,2,19,11,0.051181
2017,2,19,12,0.039370
2017,2,19,13,0.019685
2017,2,19,14,0.011811
2017,2,19,15,0.000000
2017,2,19,16,0.000000
2017,2,19,17,0.070866
2017,2,19,19,0.000000
2017,2,19,20,0.011811
2017,2,19,21,0.031496
2017,2,19,22,0.019685
2017,2,19,23,0.011811
2017,2,20,0,0.019685
2017,2,20,1,0.011811
2017,2,20,2,0.031496
2017,2,20,5,0.031496
2017,2,20,8,0.070866
2017,2,20,9,0.118110
2017,2,20,10,0.118110
2017,2,20,11,0.181102
2017,2,20,12,0.208661
2017,2,20,13,0.059055
2017,2,20,14,0.070866
2017,2,20,15,0.031496
2017,2,20,16,0.019685
2017,2,20,17,0.019685
2017,2,20,18,0.051181
2017,2,20,19,0.059055
2017,2,20,20,0.070866
2017,2,20,21,0.070866
2017,2,20,22,0.039370
2017,2,20,23,0.110236
2017,2,21,0,0.200787
2017,2,21,1,0.271654
2017,2,21,2,0.070866
2017,2,21,3,0.019685
2017,2,21,5,0.559055
2017,2,21,8,0.161417
2017,2,21,9,0.000000
2017,2,21,11,0.011811
2017,2,21,12,0.078740
2017,2,21,13,0.011811
2017,2,21,14,0.090551
2017,2,21,17,0.011811
2017,2,21,20,0.000000
2017,2,21,21,0.011811
2017,2,21,22,0.019685
2017,2,21,23,0.000000
2017,2,22,0,0.000000
2017,2,22,2,0.000000
2017,2,22,5,0.000000
2017,2,22,11,0.129921
2017,2,22,12,0.011811
2017,2,22,14,0.011811
2017,2,22,17,0.011811
2017,2,23,0,0.011811
2017,2,23,2,0.011811
2017,2,23,5,0.011811
2017,2,23,11,0.019685
2017,3,4,19,0.000000
2017,3,4,20,0.000000
2017,3,4,23,0.000000
2017,3,5,2,0.000000
2017,3,5,3,0.000000
